,player_name,player_id,season,poss,mp,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
11750,Swen Nater,natersw01,1981,5931,2809,0.6622414329999999,-0.43097463799999997,0.231266795,4.258857657,4.258857657,0.0,0.6879611640000001,-0.155659676,0.532301488,-0.331667662
11751,Swen Nater,natersw01,1982,1229,575,-0.76112596,-2.1177896169999997,-2.878915578,-0.037771984,-0.037771984,0.0,-0.782432625,-2.107144386,-2.889577011,-0.127804408
11752,Swen Nater,natersw01,1983,111,51,-8.259494932,-2.015735689,-10.27523062,-0.19388677199999999,-0.19388677199999999,0.0,-8.087381292,-4.053083445,-12.14046474,-1.023817896
11753,Swen Nater,natersw01,1984,2120,975,-3.827317566,-0.179143233,-4.006460798,-0.63063616,-0.571934746,-0.058701414,-3.581017072,-0.2390627,-3.8200797719999997,0.8242822320000001
11754,Howard Nathan,nathaho01,1996,28,15,-16.00240238,2.359118177,-13.6432842,-0.08802862199999999,-0.08802862199999999,0.0,-11.55973227,-1.151028739,-12.71076101,5.19757809
11755,Calvin Natt,nattca01,1980,6506,2982,0.442112868,0.243578271,0.68569114,5.190091389,5.206727337,-0.016635948,0.39227585200000004,0.359448515,0.751724367,-0.304204545
11756,Calvin Natt,nattca01,1981,4774,2206,-0.21557922399999999,-0.571968508,-0.7875477320000001,2.182813444,2.36035906,-0.17754561600000002,-0.30214231,-0.723148835,-1.025291145,-0.151531823
11757,Calvin Natt,nattca01,1982,5504,2599,2.9427059539999996,-0.27387949699999997,2.6688264580000003,7.141998097999999,7.141998097999999,0.0,2.567204973,-0.31996447899999997,2.247240494,-0.617031222
11758,Calvin Natt,nattca01,1983,6691,3153,2.667515907,-0.582560385,2.084955522,7.769106441,6.87351405,0.895592391,2.355393544,-0.676664934,1.67872861,-0.5681544
11759,Calvin Natt,nattca01,1984,6021,2833,2.562665928,-0.775143282,1.787522646,6.551156649,6.120978209,0.43017844,2.229964364,-0.7317370190000001,1.498227344,-0.30177967699999997
11760,Calvin Natt,nattca01,1985,7188,3165,3.2841593660000004,-1.175375294,2.1087840730000003,7.837372423,6.627315779,1.210056644,3.274951536,-1.2050201059999999,2.069931431,-0.610004703
11761,Calvin Natt,nattca01,1986,5147,2300,0.649440581,-0.770510038,-0.12106945699999999,3.066898756,2.8945404160000003,0.17235834100000003,0.657447751,-1.1165709240000001,-0.45912317399999997,-0.48766640299999997
11762,Calvin Natt,nattca01,1987,45,20,-1.202758692,-0.057240220999999994,-1.2599989120000001,0.015145843999999999,0.015145843999999999,0.0,-0.9284620929999999,-0.375311395,-1.303773488,-0.390041157
11763,Calvin Natt,nattca01,1988,1185,533,-1.074688204,-1.537646839,-2.6123350419999998,0.037287551,0.037287551,0.0,-1.1262403429999999,-2.1281345259999997,-3.254374869,-0.400064591
11764,Calvin Natt,nattca01,1989,787,353,-2.994098894,-2.4195986119999997,-5.413697506,-0.485042785,-0.485042785,0.0,-3.4171649619999998,-3.182710473,-6.599875435,-0.065311883
11765,Calvin Natt,nattca01,1990,361,178,0.229020558,-2.501824165,-2.2728036069999997,0.030627402999999997,0.11007235800000001,-0.079444955,-0.802223951,-3.15550804,-3.957731992,-0.138977462
