slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totals
stokeed01,Ed Stokes,CENTER,26,TORONTO RAPTORS,4,17,6.4,0.387,0.0,0.667,6.3,20.6,13.2,8.6,3.0,8.1,34.0,15.2,-0.1,0.0,0.0,-0.077,-9.8,2.2,-7.6,0.0,False
stoudda01,Damon Stoudamire,POINT GUARD,24,TORONTO RAPTORS,49,2033,17.7,0.514,0.246,0.255,3.3,8.8,6.0,34.4,2.0,0.2,14.7,23.4,3.2,-0.1,3.2,0.074,2.4,-2.3,0.1,1.1,False
stoudda01,Damon Stoudamire,POINT GUARD,24,PORTLAND TRAIL BLAZERS,22,806,14.5,0.469,0.384,0.291,3.6,7.9,5.8,36.8,2.2,0.2,18.0,19.9,0.7,0.9,1.5,0.091,1.0,-0.7,0.3,0.5,False
stricer01,Erick Strickland,SHOOTING GUARD,24,DALLAS MAVERICKS,67,1505,9.3,0.429,0.292,0.151,2.5,9.5,6.0,18.8,2.0,0.4,15.1,21.3,-1.7,0.8,-0.9,-0.028,-3.8,-1.2,-5.0,-1.1,False
stricma01,Mark Strickland,POWER FORWARD,27,MIAMI HEAT,51,847,17.4,0.572,0.004,0.305,11.4,17.8,14.7,5.6,1.2,2.9,13.3,19.4,1.5,1.3,2.8,0.157,0.1,0.2,0.2,0.5,False
stricro02,Rod Strickland,POINT GUARD,31,WASHINGTON WIZARDS,76,3020,19.6,0.501,0.042,0.435,4.1,11.4,7.6,43.1,2.2,0.6,16.5,23.7,5.1,3.0,8.1,0.129,2.8,0.1,2.9,3.7,False
stronde01,Derek Strong,POWER FORWARD,29,ORLANDO MAGIC,58,1638,16.6,0.497,0.006,0.452,10.7,20.2,15.3,5.8,1.0,1.1,9.1,22.8,2.5,2.0,4.4,0.13,0.1,-1.2,-1.1,0.4,False
surabo01,Bob Sura,SHOOTING GUARD,24,CLEVELAND CAVALIERS,46,942,9.6,0.463,0.26,0.567,3.3,8.9,6.1,29.4,2.5,0.6,24.4,18.7,-0.7,1.4,0.7,0.036,-2.9,1.0,-1.9,0.0,False
tabakza01,Žan Tabak,CENTER,27,TORONTO RAPTORS,39,752,9.9,0.459,0.004,0.193,8.5,14.7,11.5,8.1,1.0,2.5,14.0,18.3,-0.4,0.1,-0.2,-0.013,-4.5,-1.8,-6.3,-0.8,False
tabakza01,Žan Tabak,CENTER,27,BOSTON CELTICS,18,232,9.2,0.486,0.0,0.236,11.7,18.3,14.7,7.9,1.1,3.7,21.9,14.5,-0.1,0.2,0.2,0.036,-5.1,0.3,-4.7,-0.2,False
